	strain_host	corrected_host	latin_name	category	order	domesticstatus	source
937	strixuralensis	uralowl	Strix uralensis	owl	strigiformes	wild	jordan,clara_global
938	sulaleucogaster	brownbooby	Sula leucogaster	seabird	suliformes	wild	jordan,clara_global
939	summertanager	summertanager	Piranga rubra	passerine	passeriformes	wild	clara_nam
940	surfscoter	surfscoter	Melanitta perspicillata	duck	anseriformes	wild	clara_nam,clara_global
941	sus_scrofa	swine	Sus scrofa	swine	swine	domestic	clara_birds
942	sus_scrofa_domesticus	swine	Sus scrofa	swine	swine	domestic	clara_birds
943	sus_scrofa_scrofa	swine	Sus scrofa	swine	swine	domestic	clara_birds
944	sw			unknown	unknown	unknown	clara_birds
945	swainsonshawk	swainsonshawk	Buteo swainsoni	raptor	accipitriformes	wild	clara_nam,clara_global
946	swallow	swallow		passerine	passeriformes	wild	clara_birds
947	swam	swan	Cygnus	swan	anseriformes	wild	jordan
948	swan	swan	Cygnus	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
949	swangoose	swangoose	Anser cygnoides	goose	anseriformes	unknown	clara_nam
950	swansonshawk	swainsonshawk	Buteo swainsoni	raptor	accipitriformes	wild	jordan
951	swiftlet	swiftlet		swift	apodiformes	wild	clara_birds
952	swifttern	swifttern	Thalasseus bergii	seabird	charadriiformes	wild	jordan
953	swine	swine	Sus scrofa	swine	swine	domestic	clara_birds,jordan
954	syrrhaptesparadoxus	pallasssandgrouse	Syrrhaptes paradoxus		grouse	wild	jordan
955	tachybaptusruficollis	littlegrebe	Tachybaptus ruficollis	grebe	podicipediformes	wild	clara_birds,clara_global
956	tadorna_feruginea	ruddyshelduck	Tadorna ferruginea	duck	anseriformes	wild	clara_birds
957	tadorna_tadorna	commonshelduck	Tadorna tadorna	duck	anseriformes	wild	clara_birds
958	taigabeangoose	taigabeangoose	Anser fabalis	goose	anseriformes	wild	jordan
959	taiwan			unknown	unknown	unknown	jordan
960	taiwanesechicken	taiwanesechicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_global
961	tawnyowl	tawnypwl	Strix aluco	owl	strigiformes	wild	jordan,clara_global
962	tdk			unknown	unknown	unknown	jordan
963	teal	teal		duck	anseriformes	wild	clara_nam,clara_birds,clara_global
964	tern	tern		tern	charadriiformes	wild	jordan,clara_global
965	thalasseusacuflavidus	calbotstern	Thalasseus flavidus	tern	charadriformes	wild	jordan
966	thalasseusmaximus	royaltern	Thalasseus maximus	tern	charadriiformes	wild	jordan
967	thalasseussandvicensis	sandwichtern	Thalasseus sandvicensis	tern	charadriiformes	wild	clara_birds,clara_global
968	thayersgull	thayersgull	Larus glaucoides thayeri	gull	charadriiformes	wild	clara_nam,clara_global
969	thickbiilledmurre	thickbilledmurre	Uria lomvia	seabird	charadriiformes	wild	jordan
970	thickbilledmurre	thickbilledmurre	Uria lomvia	seabird	charadriiformes	wild	jordan
971	thrush	thrush	Turdidae	passerine	passeriformes	wild	jordan
972	tree_sparrow	treesparrow	Spizelloides arborea	passerine	passeriformes	wild	clara_birds
973	treesparrow	treesparrow	Spizelloides arborea	passerine	passeriformes	wild	clara_birds
974	treeswallow	treeswallow	Tachycineta bicolor	passerine	passeriformes	wild	clara_nam
975	trumpeterswan	trumpeterswan	Cygnus buccinator	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
976	tufted_duck	tuftedduck	Aythya fuligula	duck	anseriformes	wild	clara_birds
977	tuftedduck	tuftedduck	Aythya fuligula	duck	anseriformes	wild	clara_birds,clara_global
978	tundrabeangoose	tundrabeangoose	Anser serrirostris	goose	anseriformes	wild	jordan
979	tundraswan	tundraswan	Cygnus columbianus	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
980	turkey	turkey	Meleagris gallopavo	turkey	galliformes	unknown	clara_nam,clara_birds,clara_global
981	turkeyvulture	turkeyvulture	Cathartes aura	raptor	accipitriformes	wild	clara_nam,clara_global
982	turnstone	turnstone	Arenaria	wader	charadriiformes	wild	clara_birds
983	turtle_dove	turtledove	Streptopelia	dove	columbiformes	wild	clara_birds
984	turtledove	turtledove	Streptopelia	dove	columbiformes	wild	clara_birds
985	ty			unknown	unknown	unknown	jordan
986	tytoalba	barnowl	Tyto alba	owl	strigiformes	wild	jordan,clara_global
987	uralowl	uralowl	Strix uralensis	owl	strigiformes	wild	jordan,clara_global
988	velvet_scoter	velvetscoter	Melanitta fusca	duck	anseriformes	wild	clara_birds
989	village_chicken	chicken	Gallus gallus	chicken	galliformes	unknown	clara_birds
990	villagechicken	chicken	Gallus gallus	chicken	galliformes	unknown	clara_birds
991	vonschrencksbittern	vonschrencksbittern	Botaurus eurhythmus	wader	pelecaniformes	wild	jordan
992	vulture	vulture		raptor	accipitriformes	wild	clara_nam,clara_birds,clara_global
993	warbler	warbler		passerine	passeriformes	wild	clara_nam
994	waterchicken	waterhen	Gallinula chloropus	wader	gruiformes	wild	clara_birds
995	watercock	watercock	Gallicrex cinerea	wader	gruiformes	wild	clara_birds
996	waterfowl	waterfowl		unknown	anseriformes	unknown	clara_nam,clara_global
997	wedge-tailed_shearwater	shearwater		seabird	procellariiformes	wild	clara_birds
998	westerncattleegret	cattleegret	Ardea ibis	wader	pelecaniformes	wild	jordan
999	westerngrebe	westerngrebe	Aechmophorus occidentalis	grebe	podicipediformes	wild	clara_nam,clara_global
1000	westerngull	westerngull	Larus occidentalis	gull	charadriiformes	wild	clara_nam,clara_global
1001	westernjackdaw	westernjackdaw	Coloeus monedula	passerine	passeriformes	wild	jordan,clara_global
1002	westernkingbird	westernkingbird	Tyrannus verticalis	passerine	passeriformes	wild	clara_nam
1003	westernmarshharrier	westernmarshharrier	Circus aeruginosus	raptor	accipitriformes	wild	jordan,clara_global
1004	westernsandpiper	westernsandpiper	Calidris mauri	wader	charadriiformes	wild	clara_nam,clara_global
1005	westernscreechowl	westernscreechowl	Megascops kennicottii	owl	strigiformes	wild	clara_nam,clara_global
1006	westernsnowyplover	snowyplover	Anarhynchus nivosus	wader	charadriiformes	wild	clara_nam
1007	whimbrel	hudsonianwhimbrel	Numenius hudsonicus		charadriiformes	wild	clara_nam
1008	whiskeredtern	whiskeredtern	Chlidonias hybrida	tern	charadriiformes	wild	jordan
1009	whistlingduck	whistlingduck	Dendrocygninae	duck	anseriformes	wild	jordan,clara_global
1010	whistlingswan	tundraswan	Cygnus columbianus	swan	anseriformes	wild	clara_nam,clara_birds
1011	white_peckin_duck	pekinduck	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds
1012	white-backedmunia	whitebackedmunia	Lonchura striata	passerine	passeriformes	wild	clara_birds
1013	white-fronted_goose	greaterwhitefrontedgoose	Anser albifrons	goose	anseriformes	wild	clara_birds
1014	whitebackedmunia	whitebackedmunia	Lonchura striata	passerine	passeriformes	wild	clara_birds
1015	whitebackedstilt	blackneckedstilt	Himantopus mexicanus	wader	charadriiformes	wild	jordan
1016	whitebreastedcormorant	whitebreastedcormorant	Phalacrocorax carbo	cormorant	suliformes	wild	jordan
1017	whitecrownedsparrow	whitecrownedsparrow	Zonotrichia leucophrys	passerine	passeriformes	wild	clara_nam
1018	whiteeyedpochard	ferruginousduck	Aythya nyroca	duck	anseriformes	wild	clara_birds,jordan
1019	whitefacedibis	whitefacedibis	Plegadis chihi	wader	pelecaniformes	wild	clara_nam
1020	whitefacedwhistlingduck	whitefacedwhistlingduck	Dendrocygna viduata	duck	anseriformes	wild	jordan
1021	whitefrontedgoose	greaterwhitefrontedgoose	Anser albifrons	goose	anseriformes	wild	clara_birds,clara_global
1022	whitefrontgoose	greaterwhitefrontedgoose	Anser albifrons	goose	anseriformes	wild	clara_birds,jordan
1023	whitenapedcrane	whitenapedcrane	Antigone vipio	crane	gruiformes	wild	jordan,clara_global
1024	whitepeacock	peafowl	Phasianidae	peafowl	galliformes	wild	jordan
1025	whitepeafowl	peafowl	Phasianidae	peafowl	galliformes	wild	clara_birds
1026	whitestork	whitestork	Ciconia ciconia	stork	ciconiiformes	wild	clara_birds,clara_global
1027	whitetailedeagle	whitetailedeagle	Haliaeetus albicilla	raptor	accipitriformes	wild	clara_birds,clara_global
1028	whitetailedseaeagle	whitetailedeagle	Haliaeetus albicilla	raptor	accipitriformes	wild	jordan
1029	whitewingedblacktern	whitewingedtern	Chlidonias leucopterus	tern	charadriiformes	wild	jordan
1030	whitewingeddove	whitewingeddove	Zenaida asiatica	dove	columbiformes	wild	clara_nam,clara_global
1031	whitewingedscoter	whitewingedscoter	Melanitta deglandi	duck	anseriformes	wild	clara_nam,clara_global
1032	whooper_swan	whooperswan	Cygnus cygnus	swan	anseriformes	wild	clara_birds
1033	whooperswan	whooperswan	Cygnus cygnus	swan	anseriformes	wild	clara_birds,clara_global
1034	whooperswans	whooperswan	Cygnus cygnus	swan	anseriformes	wild	jordan
1035	whoopingswan	whooperswan	Cygnus cygnus	swan	anseriformes	wild	clara_birds
1036	wide_bird	avian		avian	avian	wild	clara_birds
1037	widgeon	wigeon	Mareca	duck	anseriformes	wild	clara_birds,jordan
1038	wigeon	wigeon	Mareca	duck	anseriformes	wild	jordan,clara_global
1039	wild_bird	bird		avian	avian	wild	clara_birds
1040	wild_birds	wildbirds		avian	avian	wild	clara_birds
1041	wild_boar	swine	Sus scrofa	swine	swine	wild	clara_birds
1042	wild_chicken	wildchicken	Gallus gallus	chicken	galliformes	unknown	clara_birds
1043	wild_duck	duck		duck	anseriformes	wild	clara_birds
1044	wild_waterfowl	waterfowl		waterfowl	anseriformes	wild	clara_birds
1045	wildbird	wildbird		unknown	unknown	wild	clara_nam,clara_birds,clara_global
1046	wildbirdsguineafowlmakouegyptiangeese			unknown	unknown	unknown	jordan
1047	wildbirdsulanebouxii			unknown	unknown	unknown	jordan,clara_global
1048	wildduck	duck		duck	anseriformes	wild	clara_nam,clara_birds,clara_global
1049	wildfowl	bird		fowl	galliformes	wild	clara_birds
1050	wildgeese	goose		goose	anseriformes	wild	clara_birds,jordan,clara_global
1051	wildgoose	goose		goose	anseriformes	wild	clara_nam,clara_birds,clara_global
1052	wildhybridduck	duck		duck	anseriformes	wild	clara_nam
1053	wildpigeon	pigeon		pigeon		wild	jordan
1054	wildswan	swan		swan	anseriformes	wild	clara_birds
1055	wildturkey	wildturkey	Meleagris gallopavo	turkey	galliformes	wild	clara_nam,clara_birds,clara_global
1056	wildwaterbird	waterfowl				wild	jordan
1057	wildwaterfowl	waterfowl				wild	jordan
1058	willet	willet	Tringa semipalmata	wader	charadriiformes	wild	clara_nam,clara_global
1059	withetiledeagle	whitetailedeagle	Haliaeetus albicilla	raptor	accipitriformes	wild	clara_birds,clara_global
1060	wood_duck	woodduck	Chenonetta jubata or Aix sponsa	duck	anseriformes	wild	clara_birds
1061	woodduck	woodduck	Chenonetta jubata or Aix sponsa	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
1062	yellow_billed_duck	yellowbilledduck	Anas undulata	duck	anseriformes	wild	clara_birds
1063	yellow-billed_pintail	yellowbilledpintail	Anas georgica	duck	anseriformes	wild	clara_birds
1064	yellowbilledduck	yellowbilledduck	Anas undulata	duck	anseriformes	wild	clara_birds
1065	yellowbilledpintail	yellowbilledpintail	Anas georgica	duck	anseriformes	wild	jordan
1066	yellowbilledteal	yellowbilledteal	Anas flavirostris	duck	anseriformes	wild	jordan
1067	yellowheadedamazon	yellowheadedamazon	Amazona oratrix	parrot	psittaciformes	unknown	jordan
1068	yellowleggedgull	yellowleggedgull	Larus michahellis	gull	charadriiformes	wild	clara_birds,jordan,clara_global
1069	yellowleggendgull	yellowleggedgull	Larus michahellis	gull	charadriiformes	wild	jordan,clara_global
1070	zoopelican	pelican		pelican	pelecaniformes	unknown	jordan,clara_global
