strain_host	corrected_host	latin_name	category	order	domesticstatus	source
stonecurlew	stone_curlew		wader	charadriiformes		clara_birds
stork	stork		stork	ciconiiformes		clara_birds,clara_global
streptopeliadecaocto						jordan
strixuralensis						jordan,clara_global
sulaleucogaster						jordan,clara_global
summertanager	summertanager	Piranga rubra	passerine	passeriformes	wild	clara_nam
surfscoter	surfscoter	Melanitta perspicillata	duck	anseriformes	wild	clara_nam,clara_global
sus_scrofa	swine		swine	swine		clara_birds
sus_scrofa_domesticus	swine		swine	swine		clara_birds
sus_scrofa_scrofa	swine		swine	swine		clara_birds
sw	swine		swine	swine		clara_birds
swainsonshawk	swainsonshawk	Buteo swainsoni	raptor	accipitriformes	wild	clara_nam,clara_global
swallow	swallow		swallow	passeriformes		clara_birds
swam						jordan
swan	swan	Cygnus	swan	anseriformes	wild	clara_nam,clara_birds,clara_global
swangoose	swangoose	Anser cygnoides	goose	anseriformes	unknown	clara_nam
swansonshawk						jordan
swiftlet	swiftlet		swift	apodiformes		clara_birds
swifttern	swifttern	Thalasseus bergii	seabird	charadriiformes	wild	jordan
swine	swine		swine	swine		clara_birds,jordan
syrrhaptesparadoxus						jordan
tachybaptusruficollis	little_grebe		grebe	podicipediformes		clara_birds,clara_global
tadorna_feruginea	Ruddy_shelduck		duck	anseriformes		clara_birds
tadorna_tadorna	common_shelduck		duck	anseriformes		clara_birds
taigabeangoose						jordan
taiwan						jordan
taiwanesechicken	taiwanesechicken	Gallus gallus	chicken	galliformes	domestic	clara_nam,clara_global
tawnyowl						jordan,clara_global
tdk						jordan
teal	teal		duck	anseriformes	wild	clara_nam,clara_birds,clara_global
tern	tern		seabird	charadriiformes	wild	jordan,clara_global
thalasseusacuflavidus						jordan
thalasseusmaximus						jordan
